MSFT
AAPL
NVDA
AMZN
GOOGL
META
BRK.B
AVGO
TSLA
WMT
LLY
JPM
V
MA
NFLX
XOM
COST
ORCL
JNJ
PG
HD
UNH
ABBV
KO
BAC
TMUS
PM
CRM
PLTR
WFC
CVX
CSCO
ABT
IBM
MCD
GE
LIN
T
NOW
MRK
AXP
ISRG
ACN
MS
VZ
DIS
PEP
INTU
UBER
RTX
BKNG
PGR
BX
ADBE
GS
AMD
QCOM
TMO
BSX
SPGI
SCHW
CAT
TXN
AMGN
SYK
TJX
BLK
BA
NEE
HON
DHR
C
PFE
CMCSA
DE
UNP
LOW
AMAT
PANW
ADP
GILD
ETN
CB
VRTX
MMC
COP
LMT
GEV
MDT
CRWD
ANET
AMT
FI
KKR
MO
CME
SO
ICE
PLD
WELL
ADI
BMY
APH
DUK
WM
ELV
LRCX
SBUX
MCK
MU
TT
KLAC
CI
SHW
INTC
MDLZ
AJG
NKE
CTAS
CEG
EQIX
HCA
CVS
MCO
CDNS
FTNT
PH
ORLY
UPS
TDG
RSG
DASH
AON
ABNB
MMM
APO
SNPS
CL
GD
WMB
COF
ECL
ITW
MAR
NOC
MSI
CMG
ZTS
PYPL
WDAY
PNC
DELL
USB
CHTR
AZO
HWM
EMR
RCL
ROP
KMI
TRV
SPG
CARR
NEM
BK
ADSK
JCI
COR
REGN
APD
EOG
CPRT
MNST
AFL
DLR
HLT
AEP
ALL
PAYX
FCX
CSX
PSA
MET
O
FDX
TFC
FICO
GWW
OKE
NSC
SRE
KR
DFS
AIG
BDX
PWR
ROST
AXON
D
EXC
VST
PCAR
KDP
NXPI
CCI
AMP
SLB
KVUE
FAST
NDAQ
MPC
EW
TEL
KMB
GM
TGT
PSX
VRSK
URI
CTVA
MSCI
YUM
F
CMI
XEL
EA
TTWO
LHX
FIS
ED
HES
PEG
AME
CTSH
IDXX
GLW
OXY
OTIS
FANG
PCG
DHI
CBRE
VLO
CAH
ETR
PRU
BKR
HIG
GRMN
RMD
VMC
ACGL
WEC
TRGP
SYY
HSY
IT
STZ
VICI
TKO
KHC
LULU
EXR
ODFL
EBAY
EFX
WAB
EQT
MLM
ROK
DXCM
BRO
CSGP
LYV
IR
GEHC
TPL
CNC
WTW
HUM
A
VTR
GIS
DAL
AVB
XYL
MPWR
AWK
RJF
WRB
IRM
DTE
K
ANSS
LEN
MTB
EQR
BR
LVS
ROL
TSCO
DD
AEE
PPL
NUE
VRSN
IQV
STT
CCL
SBAC
EXE
GDDY
ATO
MCHP
CNP
KEYS
FE
UAL
FITB
PPG
CBOE
HPQ
VLTO
TYL
IP
DOV
DRI
NRG
FTV
ADM
FOXA
CPAY
CINF
CHD
ES
TDY
CDW
MTD
CMS
STE
HBAN
FOX
EXPE
EIX
HPE
INVH
WBD
EL
SW
LH
NVR
DG
SYF
DOW
WAT
PHM
LII
STX
TROW
MKC
MAA
TSN
DGX
LDOS
GPN
STLD
IFF
DVN
WSM
PTC
NTRS
ESS
ERIE
RF
SMCI
HUBB
NTAP
WY
NI
ZBH
L
DLTR
PODD
DECK
LYB
ULTA
CTRA
MOH
PFG
GEN
BIIB
LUV
KEY
CLX
HAL
CFG
NWS
DPZ
SNA
GPC
COO
FDS
BF.B
PKG
JBL
HRL
ON
EVRG
NWSA
LNT
UDR
BAX
TPR
TRMB
FFIV
WDC
PNR
WST
EXPD
OMC
RL
EG
J
BBY
BALL
KIM
FSLR
IEX
CF
AVY
AMCR
JBHT
REG
CPT
ZBRA
PAYC
APTV
ALGN
MAS
TXT
ARE
DOC
JNPR
JKHY
AKAM
UHS
ALLE
SJM
HOLX
TER
BLDR
TAP
INCY
SOLV
BXP
POOL
PNW
DVA
CAG
RVTY
BEN
NDSN
CPB
CHRW
BG
AIZ
VTRS
HST
LKQ
KMX
GL
SWKS
MOS
AOS
WBA
MRNA
IPG
SWK
HII
EPAM
EMN
WYNN
HAS
MGM
DAY
MKTX
FRT
HSIC
NCLH
PARA
TECH
MTCH
AES
LW
CRL
GNRC
ALB
IVZ
MHK
ENPH
APA
CZR
