III.L
ADM.L
AAF.L
AAL.L
ANTO.L
AHT.L
ABF.L
AZN.L
AUTO.L
AV..L
BA..L
BARC.L
BDEV.L
BEZ.L
BKG.L
BP..L
BATS.L
BLND.L
BT.A.L
BNZL.L
CNA.L
CCH.L
CPG.L
CTEC.L
CRDA.L
DCC.L
DGE.L
DPLM.L
EZJ.L
EDV.L
ENT.L
EXPN.L
FCIT.L
FRES.L
GAW.L
GLEN.L
GSK.L
HLN.L
HLMA.L
HL..L
HIK.L
HSX.L
HWDN.L
HSBA.L
IMI.L
IMB.L
INF.L
IHG.L
ICG.L
ITRK.L
IAG.L
JD..L
KGF.L
LAND.L
LGEN.L
LLOY.L
LSEG.L
LMP.L
MNG.L
MKS.L
MRO.L
MNDI.L
NG..L
NWG.L
NXT.L
PSON.L
PSH.L
PSN.L
PHNX.L
PRU.L
RKT.L
REL.L
RTO.L
RMV.L
RIO.L
RR..L
SGE.L
SBRY.L
SDR.L
SMT.L
SGRO.L
SVT.L
SHEL.L
SN..L
SMDS.L
SMIN.L
SPX.L
SSE.L
STJ.L
STAN.L
TW..L
TSCO.L
ULVR.L
UTG.L
UU..L
VOD.L
WEIR.L
WTB.L
WPP.L
